Question,Prediction,Ground_Truth,ExactMatch,F1Score
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Ambassador,Chief of Protocol,0.0,0.0
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",Greenwich Village,"Greenwich Village, New York City",0.0,0.5714285714285715
2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,1.0,1.0
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677","3,677 seated",0.0,0.6666666666666666
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0
Are Local H and For Against both from the United States?,"Local H is from the United States, and For Against is from the United States",yes,0.0,0.0
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?","David Weissman, The Family Man",David Weissman,0.0,0.6666666666666666
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0
The football manager who recruited David Beckham managed Manchester United during what timeframe?,1986 to 2013,from 1986 to 2013,0.0,0.8571428571428571
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"Brown State Fishing Lake is located in the United States, but the provided evidence does not contain information on the current population of the United States","9,984",0.0,0.0
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969 until 1974,1.0,1.0
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers,Robert Erskine Childers DSC,0.0,0.8571428571428571
