Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,83.93,49111,32250,4099
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,73.67,48334,33486,3052
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs series,Animorphs,0.0,0.6666666666666666,77.15,52568,36298,4696
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,71.66,46632,32172,3427
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,101.37,54365,33107,3134
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Unknown,YG Entertainment,0.0,0.0,53.27,43373,33348,2827
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,91.39,54189,35552,4465
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,65.77,48089,34910,3107
"Who is older, Annie Morton or Terry Richardson?",August,Terry Richardson,0.0,0.0,49.23,30365,22034,2651
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,89.37,50999,32735,3407
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,58.92,31911,23774,2646
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,85.10,51680,33675,3449
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,63.68,47892,34946,4173
Are Random House Tower and 888 7th Avenue both used for real estate?,"Residential, commercial",no,0.0,0.0,88.83,53892,34796,4377
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,79.82,49838,33720,3806
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","9,984",1.0,1.0,112.49,57330,33691,3385
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,44.53,43176,34598,3034
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,79.66,51569,34536,5941
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,From 1969 until 1974,1969 until 1974,0.0,0.8571428571428571,67.19,48950,35343,3793
"Which writer was from England, Henry Roth or Robert Erskine Childers?",English-born,Robert Erskine Childers DSC,0.0,0.0,46.06,27434,21509,2568

Summary,,,,,,,,
Exact Match,,,0.7000,,,,,
F1 Score,,,0.7762,,,,,
Latency/Q (s),,,74.15,,,,,
Total Latency (s),,,1483.09,,,,,
Tokens/Q,,,47085,,,47085,32324,3602
Examples,,,20,,,,,
